date,home_team,away_team,home_score,away_score,boxscore_url
2010-04-14,Los Angeles Dodgers,Arizona D'Backs,7,9,https://www.baseball-reference.com/boxes/LAN/LAN201004140.shtml
2010-04-14,Minnesota Twins,Boston Red Sox,3,6,https://www.baseball-reference.com/boxes/MIN/MIN201004140.shtml
2010-04-14,New York Yankees,LA Angels of Anaheim,3,5,https://www.baseball-reference.com/boxes/NYA/NYA201004140.shtml
2010-04-14,Philadelphia Phillies,Washington Nationals,14,7,https://www.baseball-reference.com/boxes/PHI/PHI201004140.shtml
2010-04-14,San Diego Padres,Atlanta Braves,1,6,https://www.baseball-reference.com/boxes/SDN/SDN201004140.shtml
2010-04-14,Seattle Mariners,Oakland Athletics,4,2,https://www.baseball-reference.com/boxes/SEA/SEA201004140.shtml
2010-04-14,San Francisco Giants,Pittsburgh Pirates,6,0,https://www.baseball-reference.com/boxes/SFN/SFN201004140.shtml
2010-04-14,St. Louis Cardinals,Houston Astros,2,1,https://www.baseball-reference.com/boxes/SLN/SLN201004140.shtml
2010-04-14,Toronto Blue Jays,Chicago White Sox,1,11,https://www.baseball-reference.com/boxes/TOR/TOR201004140.shtml
2010-04-15,Chicago Cubs,Milwaukee Brewers,6,8,https://www.baseball-reference.com/boxes/CHN/CHN201004150.shtml
2010-04-15,Cleveland Indians,Texas Rangers,3,2,https://www.baseball-reference.com/boxes/CLE/CLE201004150.shtml
2010-04-15,Colorado Rockies,New York Mets,0,5,https://www.baseball-reference.com/boxes/COL/COL201004150.shtml
2010-04-15,Florida Marlins,Cincinnati Reds,10,2,https://www.baseball-reference.com/boxes/FLO/FLO201004150.shtml
2010-04-15,Los Angeles Dodgers,Arizona D'Backs,6,5,https://www.baseball-reference.com/boxes/LAN/LAN201004150.shtml
2010-04-15,Minnesota Twins,Boston Red Sox,8,0,https://www.baseball-reference.com/boxes/MIN/MIN201004150.shtml
2010-04-15,New York Yankees,LA Angels of Anaheim,6,2,https://www.baseball-reference.com/boxes/NYA/NYA201004150.shtml
2010-04-15,Oakland Athletics,Baltimore Orioles,6,2,https://www.baseball-reference.com/boxes/OAK/OAK201004150.shtml
2010-04-15,Philadelphia Phillies,Washington Nationals,5,7,https://www.baseball-reference.com/boxes/PHI/PHI201004150.shtml
2010-04-15,San Diego Padres,Atlanta Braves,2,6,https://www.baseball-reference.com/boxes/SDN/SDN201004150.shtml
2010-04-15,St. Louis Cardinals,Houston Astros,1,5,https://www.baseball-reference.com/boxes/SLN/SLN201004150.shtml
2010-04-15,Toronto Blue Jays,Chicago White Sox,7,3,https://www.baseball-reference.com/boxes/TOR/TOR201004150.shtml
2010-04-16,Atlanta Braves,Colorado Rockies,9,5,https://www.baseball-reference.com/boxes/ATL/ATL201004160.shtml
2010-04-16,Boston Red Sox,Tampa Bay Rays,1,3,https://www.baseball-reference.com/boxes/BOS/BOS201004160.shtml
2010-04-16,Chicago Cubs,Houston Astros,7,2,https://www.baseball-reference.com/boxes/CHN/CHN201004160.shtml
2010-04-16,Cleveland Indians,Chicago White Sox,6,2,https://www.baseball-reference.com/boxes/CLE/CLE201004160.shtml
2010-04-16,Los Angeles Dodgers,San Francisco Giants,10,8,https://www.baseball-reference.com/boxes/LAN/LAN201004160.shtml
2010-04-16,Minnesota Twins,Kansas City Royals,10,3,https://www.baseball-reference.com/boxes/MIN/MIN201004160.shtml
2010-04-16,New York Yankees,Texas Rangers,5,1,https://www.baseball-reference.com/boxes/NYA/NYA201004160.shtml
2010-04-16,Oakland Athletics,Baltimore Orioles,4,2,https://www.baseball-reference.com/boxes/OAK/OAK201004160.shtml
2010-04-16,Philadelphia Phillies,Florida Marlins,8,6,https://www.baseball-reference.com/boxes/PHI/PHI201004160.shtml
2010-04-16,Pittsburgh Pirates,Cincinnati Reds,4,3,https://www.baseball-reference.com/boxes/PIT/PIT201004160.shtml
2010-04-16,San Diego Padres,Arizona D'Backs,6,3,https://www.baseball-reference.com/boxes/SDN/SDN201004160.shtml
2010-04-16,Seattle Mariners,Detroit Tigers,11,3,https://www.baseball-reference.com/boxes/SEA/SEA201004160.shtml
2010-04-16,St. Louis Cardinals,New York Mets,4,3,https://www.baseball-reference.com/boxes/SLN/SLN201004160.shtml
2010-04-16,Toronto Blue Jays,LA Angels of Anaheim,5,7,https://www.baseball-reference.com/boxes/TOR/TOR201004160.shtml
2010-04-16,Washington Nationals,Milwaukee Brewers,5,3,https://www.baseball-reference.com/boxes/WAS/WAS201004160.shtml
2010-04-17,Atlanta Braves,Colorado Rockies,0,4,https://www.baseball-reference.com/boxes/ATL/ATL201004170.shtml
2010-04-17,Boston Red Sox,Tampa Bay Rays,5,6,https://www.baseball-reference.com/boxes/BOS/BOS201004170.shtml
2010-04-17,Chicago Cubs,Houston Astros,3,4,https://www.baseball-reference.com/boxes/CHN/CHN201004170.shtml
2010-04-17,Cleveland Indians,Chicago White Sox,3,2,https://www.baseball-reference.com/boxes/CLE/CLE201004170.shtml
2010-04-17,Los Angeles Dodgers,San Francisco Giants,0,9,https://www.baseball-reference.com/boxes/LAN/LAN201004170.shtml
2010-04-17,Minnesota Twins,Kansas City Royals,6,5,https://www.baseball-reference.com/boxes/MIN/MIN201004170.shtml
2010-04-17,New York Yankees,Texas Rangers,7,3,https://www.baseball-reference.com/boxes/NYA/NYA201004170.shtml
2010-04-17,Oakland Athletics,Baltimore Orioles,4,3,https://www.baseball-reference.com/boxes/OAK/OAK201004170.shtml
2010-04-17,Philadelphia Phillies,Florida Marlins,1,5,https://www.baseball-reference.com/boxes/PHI/PHI201004170.shtml
2010-04-17,Pittsburgh Pirates,Cincinnati Reds,5,4,https://www.baseball-reference.com/boxes/PIT/PIT201004170.shtml
2010-04-17,San Diego Padres,Arizona D'Backs,5,0,https://www.baseball-reference.com/boxes/SDN/SDN201004170.shtml
2010-04-17,Seattle Mariners,Detroit Tigers,4,2,https://www.baseball-reference.com/boxes/SEA/SEA201004170.shtml
2010-04-17,St. Louis Cardinals,New York Mets,1,2,https://www.baseball-reference.com/boxes/SLN/SLN201004170.shtml
2010-04-17,Toronto Blue Jays,LA Angels of Anaheim,3,6,https://www.baseball-reference.com/boxes/TOR/TOR201004170.shtml
2010-04-17,Washington Nationals,Milwaukee Brewers,8,0,https://www.baseball-reference.com/boxes/WAS/WAS201004170.shtml
2010-04-18,Atlanta Braves,Colorado Rockies,4,3,https://www.baseball-reference.com/boxes/ATL/ATL201004180.shtml
2010-04-18,Boston Red Sox,Tampa Bay Rays,1,7,https://www.baseball-reference.com/boxes/BOS/BOS201004180.shtml
2010-04-18,Chicago Cubs,Houston Astros,2,3,https://www.baseball-reference.com/boxes/CHN/CHN201004180.shtml
2010-04-18,Cleveland Indians,Chicago White Sox,7,4,https://www.baseball-reference.com/boxes/CLE/CLE201004180.shtml
2010-04-18,Los Angeles Dodgers,San Francisco Giants,2,1,https://www.baseball-reference.com/boxes/LAN/LAN201004180.shtml
2010-04-18,Minnesota Twins,Kansas City Royals,5,10,https://www.baseball-reference.com/boxes/MIN/MIN201004180.shtml
2010-04-18,New York Yankees,Texas Rangers,5,2,https://www.baseball-reference.com/boxes/NYA/NYA201004180.shtml
2010-04-18,Oakland Athletics,Baltimore Orioles,3,8,https://www.baseball-reference.com/boxes/OAK/OAK201004180.shtml
2010-04-18,Philadelphia Phillies,Florida Marlins,0,2,https://www.baseball-reference.com/boxes/PHI/PHI201004180.shtml
2010-04-18,Pittsburgh Pirates,Cincinnati Reds,5,3,https://www.baseball-reference.com/boxes/PIT/PIT201004180.shtml
2010-04-18,San Diego Padres,Arizona D'Backs,5,3,https://www.baseball-reference.com/boxes/SDN/SDN201004180.shtml
2010-04-18,Seattle Mariners,Detroit Tigers,2,4,https://www.baseball-reference.com/boxes/SEA/SEA201004180.shtml
2010-04-18,St. Louis Cardinals,New York Mets,5,3,https://www.baseball-reference.com/boxes/SLN/SLN201004180.shtml
